"REF_DATE","GEO","DGUID","Farm land and buildings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1921","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","36","","","","0"
"1922","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","35","","","","0"
"1923","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","32","","","","0"
"1924","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","32","","","","0"
"1925","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","33","","","","0"
"1926","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","32","","","","0"
"1927","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","33","","","","0"
"1928","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","33","","","","0"
"1929","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","33","","","","0"
"1930","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","28","","","","0"
"1931","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","25","","","","0"
"1932","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","21","","","","0"
"1933","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","20","","","","0"
"1934","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","20","","","","0"
"1935","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","21","","","","0"
"1936","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","20","","","","0"
"1937","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","19","","","","0"
"1938","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","18","","","","0"
"1939","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","18","","","","0"
"1940","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","17","","","","0"
"1941","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","17","","","","0"
"1942","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","19","","","","0"
"1943","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","20","","","","0"
"1944","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","21","","","","0"
"1945","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","22","","","","0"
"1946","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","23","","","","0"
"1947","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","25","","","","0"
"1948","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","27","","","","0"
"1949","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","27","","","","0"
"1950","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","29","","","","0"
"1951","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","32","","","","0"
"1952","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","33","","","","0"
"1953","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","36","","","","0"
"1954","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","36","","","","0"
"1955","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","38","","","","0"
"1956","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","39","","","","0"
"1957","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","40","","","","0"
"1958","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","43","","","","0"
"1959","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","45","","","","0"
"1960","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","48","","","","0"
"1961","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","50","","","","0"
"1962","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","52","","","","0"
"1963","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","55","","","","0"
"1964","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","61","","","","0"
"1965","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","68","","","","0"
"1966","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","76","","","","0"
"1967","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","86","","","","0"
"1968","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","95","","","","0"
"1969","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","97","","","","0"
"1970","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","98","","","","0"
"1971","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","100","","","","0"
"1972","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","108","","","","0"
"1973","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","131","","","","0"
"1974","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","171","","","","0"
"1975","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","217","","","","0"
"1976","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","257","","","","0"
"1977","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","296","","","","0"
"1978","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","351","","","","0"
"1979","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","434","","","","0"
"1980","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","547","","","","0"
"1981","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","615","","","","0"
"1982","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","614","","","","0"
"1983","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","586","","","","0"
"1984","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","558","","","","0"
"1985","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","517","","","","0"
"1986","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","478","","","","0"
"1987","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","456","","","","0"
"1988","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","464","","","","0"
"1989","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","518","","","","0"
"1990","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","555","","","","0"
"1991","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","560","","","","0"
"1992","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","547","","","","0"
"1993","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","555","","","","0"
"1994","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","584","","","","0"
"1995","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","634","","","","0"
"1996","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","689","","","","0"
"1997","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","758","","","","0"
"1998","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","796","","","","0"
"1999","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","822","","","","0"
"2000","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","844","","","","0"
"2001","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","862","","","","0"
"2002","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","918","","","","0"
"2003","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","976","","","","0"
"2004","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1038","","","","0"
"2005","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1107","","","","0"
"2006","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1184","","","","0"
"2007","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1271","","","","0"
"2008","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1421","","","","0"
"2009","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1512","","","","0"
"2010","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1608","","","","0"
"2011","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1724","","","","0"
"2012","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1899","","","","0"
"2013","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2170","","","","0"
"2014","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2367","","","","0"
"2015","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2550","","","","0"
"2016","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2696","","","","0"
"2017","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2903","","","","0"
"2018","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3072","","","","0"
"2019","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3245","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","735","","","","0"
"1977","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","720","","","","0"
"1978","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","800","","","","0"
"1979","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","911","","","","0"
"1980","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1035","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1133","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1027","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","998","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","938","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","911","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","868","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","914","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","964","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1016","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1071","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1136","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1150","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1164","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1203","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1243","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1286","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1318","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1359","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1397","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1426","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1455","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1539","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1627","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1720","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1854","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2019","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2216","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2317","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2557","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2688","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2811","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2859","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2908","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3011","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3178","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3416","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3597","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","4332","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","5022","","","","0"
"1921","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","35","","","","0"
"1922","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","36","","","","0"
"1923","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","41","","","","0"
"1924","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","33","","","","0"
"1925","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","39","","","","0"
"1926","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","41","","","","0"
"1927","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","38","","","","0"
"1928","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","42","","","","0"
"1929","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","42","","","","0"
"1930","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","43","","","","0"
"1931","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","36","","","","0"
"1932","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","32","","","","0"
"1933","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","33","","","","0"
"1934","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","34","","","","0"
"1935","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","30","","","","0"
"1936","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","30","","","","0"
"1937","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","32","","","","0"
"1938","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","33","","","","0"
"1939","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","32","","","","0"
"1940","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","28","","","","0"
"1941","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","29","","","","0"
"1942","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","31","","","","0"
"1943","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","30","","","","0"
"1944","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","33","","","","0"
"1945","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","34","","","","0"
"1946","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","32","","","","0"
"1947","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","36","","","","0"
"1948","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","38","","","","0"
"1949","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","39","","","","0"
"1950","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","40","","","","0"
"1951","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","44","","","","0"
"1952","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","45","","","","0"
"1953","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","45","","","","0"
"1954","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","44","","","","0"
"1955","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","44","","","","0"
"1956","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","46","","","","0"
"1957","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","46","","","","0"
"1958","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","49","","","","0"
"1959","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","52","","","","0"
"1960","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","54","","","","0"
"1961","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","55","","","","0"
"1962","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","59","","","","0"
"1963","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","61","","","","0"
"1964","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","64","","","","0"
"1965","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","67","","","","0"
"1966","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","78","","","","0"
"1967","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","91","","","","0"
"1968","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","105","","","","0"
"1969","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","118","","","","0"
"1970","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","126","","","","0"
"1971","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","132","","","","0"
"1972","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","151","","","","0"
"1973","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","185","","","","0"
"1974","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","245","","","","0"
"1975","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","277","","","","0"
"1976","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","298","","","","0"
"1977","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","327","","","","0"
"1978","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","401","","","","0"
"1979","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","518","","","","0"
"1980","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","584","","","","0"
"1981","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","685","","","","0"
"1982","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","655","","","","0"
"1983","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","695","","","","0"
"1984","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","702","","","","0"
"1985","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","745","","","","0"
"1986","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","727","","","","0"
"1987","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","747","","","","0"
"1988","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","767","","","","0"
"1989","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","835","","","","0"
"1990","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","999","","","","0"
"1991","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1026","","","","0"
"1992","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1110","","","","0"
"1993","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1142","","","","0"
"1994","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1307","","","","0"
"1995","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1545","","","","0"
"1996","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1636","","","","0"
"1997","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1718","","","","0"
"1998","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1771","","","","0"
"1999","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1825","","","","0"
"2000","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1849","","","","0"
"2001","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1859","","","","0"
"2002","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1903","","","","0"
"2003","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1953","","","","0"
"2004","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2019","","","","0"
"2005","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2066","","","","0"
"2006","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2115","","","","0"
"2007","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2140","","","","0"
"2008","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2099","","","","0"
"2009","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2100","","","","0"
"2010","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2125","","","","0"
"2011","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2205","","","","0"
"2012","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2309","","","","0"
"2013","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2478","","","","0"
"2014","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2620","","","","0"
"2015","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2809","","","","0"
"2016","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3054","","","","0"
"2017","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3277","","","","0"
"2018","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3422","","","","0"
"2019","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3905","","","","0"
"1921","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","23","","","","0"
"1922","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","22","","","","0"
"1923","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","20","","","","0"
"1924","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","21","","","","0"
"1925","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","24","","","","0"
"1926","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","24","","","","0"
"1927","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","24","","","","0"
"1928","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","22","","","","0"
"1929","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","24","","","","0"
"1930","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","20","","","","0"
"1931","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","19","","","","0"
"1932","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","18","","","","0"
"1933","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","17","","","","0"
"1934","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","17","","","","0"
"1935","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","19","","","","0"
"1936","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","21","","","","0"
"1937","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","19","","","","0"
"1938","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","17","","","","0"
"1939","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","19","","","","0"
"1940","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","16","","","","0"
"1941","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","17","","","","0"
"1942","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","18","","","","0"
"1943","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","19","","","","0"
"1944","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","22","","","","0"
"1945","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","22","","","","0"
"1946","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","22","","","","0"
"1947","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","25","","","","0"
"1948","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","26","","","","0"
"1949","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","26","","","","0"
